transaction_id,date,platform,customer_id,customer_segment,region_city,product_id,product_category,order_status,number_of_orders,total_order_value,courier_name,delivery_status,delivery_time_days,customer_lifetime_value,acquisition_source,acquisition_cost,gross_margin_percentage,campaign_id,discount_percentage,platform_commission,competitor_price,weather_condition,peak_season_flag,customer_satisfaction,review_count,courier_reliability,market_demand_index,estimated_financial_loss,delivery_success_rate,paragraph
TRX-2023-011,02/06/2023,Zalora,CUST-011,Premium,Manila,PROD-T7,Health & Beauty,Failed,73,101397,CourierX,Success,2.2,114354,Referral,211,22.1,CAMP-Q2-002,12.9,9.9,99943,typhoon,0,3.8,74,5.6,2,1982.04,87.8,"""In the transaction with ID TRX-2023-011 on 02/06/2023, a total of 73 orders were placed on the Zalora platform by customer CUST-011, who belongs to the Premium segment in Manila. The product with ID PROD-T7, categorized under Health & Beauty, was sold with an order status of Failed. The total order value reached 101397, and the delivery was handled by CourierX, achieving a delivery status of Success with a delivery time of 2.2 days. The customer lifetime value was estimated at 114354, with an acquisition cost of 211 from the Referral source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 12.9%. The platform commission was 9.9%, while the competitor price stood at 99943. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.8 based on 74 reviews, and the courier reliability was measured at 5.6. The market demand index was 2, with an estimated financial loss of 1982.04 and a delivery success rate of 87.8."""
TRX-2023-012,26/04/2023,Shopee,CUST-012,New,Cagayan de Oro,PROD-P8,Health & Beauty,Completed,89,130919,CourierY,Success,3.4,56480,Referral,384,32.1,CAMP-Q2-002,9.2,6.1,122474,normal,0,3.5,58,8.3,6,1435.24,89.61,"""In the transaction with ID TRX-2023-012 on 26/04/2023, a total of 89 orders were placed on the Shopee platform by customer CUST-012, who belongs to the New segment in Cagayan de Oro. The product with ID PROD-P8, categorized under Health & Beauty, was sold with an order status of Completed. The total order value reached 130919, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 3.4 days. The customer lifetime value was estimated at 56480, with an acquisition cost of 384 from the Referral source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 9.2%. The platform commission was 6.1%, while the competitor price stood at 122474. The weather condition during this transaction was normal, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.5 based on 58 reviews, and the courier reliability was measured at 8.3. The market demand index was 6, with an estimated financial loss of 1435.24 and a delivery success rate of 89.61."""
TRX-2023-013,15/03/2023,Amazon,CUST-013,New,Iloilo,PROD-N2,Health & Beauty,Failed,174,213324,CourierZ,Delayed,4.4,119536,Google,357,33.6,CAMP-Q2-002,1.6,5.9,113894,typhoon,1,3.0,26,9.2,7,1270.38,95.07,"""In the transaction with ID TRX-2023-013 on 15/03/2023, a total of 174 orders were placed on the Amazon platform by customer CUST-013, who belongs to the New segment in Iloilo. The product with ID PROD-N2, categorized under Health & Beauty, was sold with an order status of Failed. The total order value reached 213324, and the delivery was handled by CourierZ, achieving a delivery status of Delayed with a delivery time of 4.4 days. The customer lifetime value was estimated at 119536, with an acquisition cost of 357 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 1.6%. The platform commission was 5.9%, while the competitor price stood at 113894. The weather condition during this transaction was typhoon, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.0 based on 26 reviews, and the courier reliability was measured at 9.2. The market demand index was 7, with an estimated financial loss of 1270.38 and a delivery success rate of 95.07."""
TRX-2023-014,20/05/2023,Zalora,CUST-014,New,Cebu,PROD-R4,Electronics,Completed,72,56016,CourierX,Failed,2.5,96523,Instagram,346,35.3,CAMP-Q2-001,1.3,5.7,112705,normal,1,4.0,39,7.6,10,1315.19,95.2,"""In the transaction with ID TRX-2023-014 on 20/05/2023, a total of 72 orders were placed on the Zalora platform by customer CUST-014, who belongs to the New segment in Cebu. The product with ID PROD-R4, categorized under Electronics, was sold with an order status of Completed. The total order value reached 56016, and the delivery was handled by CourierX, achieving a delivery status of Failed with a delivery time of 2.5 days. The customer lifetime value was estimated at 96523, with an acquisition cost of 346 from the Instagram source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 1.3%. The platform commission was 5.7%, while the competitor price stood at 112705. The weather condition during this transaction was normal, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.0 based on 39 reviews, and the courier reliability was measured at 7.6. The market demand index was 10, with an estimated financial loss of 1315.19 and a delivery success rate of 95.2."""
TRX-2023-015,03/05/2023,Zalora,CUST-015,Regular,Cebu,PROD-T1,Health & Beauty,Completed,115,164910,CourierZ,Delayed,4.5,129539,Google,322,20.8,CAMP-Q2-001,3.3,6.3,128772,heavy_rain,1,4.6,33,6.4,9,1770.74,89.59,"""In the transaction with ID TRX-2023-015 on 03/05/2023, a total of 115 orders were placed on the Zalora platform by customer CUST-015, who belongs to the Regular segment in Cebu. The product with ID PROD-T1, categorized under Health & Beauty, was sold with an order status of Completed. The total order value reached 164910, and the delivery was handled by CourierZ, achieving a delivery status of Delayed with a delivery time of 4.5 days. The customer lifetime value was estimated at 129539, with an acquisition cost of 322 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 3.3%. The platform commission was 6.3%, while the competitor price stood at 128772. The weather condition during this transaction was heavy_rain, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.6 based on 33 reviews, and the courier reliability was measured at 6.4. The market demand index was 9, with an estimated financial loss of 1770.74 and a delivery success rate of 89.59."""
TRX-2023-016,06/05/2023,Shopee,CUST-016,New,Bacolod,PROD-D1,Electronics,Delayed,113,162607,CourierX,Success,4.6,200650,Referral,233,24.3,CAMP-Q2-002,13.9,5.4,94699,heavy_rain,0,4.1,41,8.7,4,1052.69,87.05,"""In the transaction with ID TRX-2023-016 on 06/05/2023, a total of 113 orders were placed on the Shopee platform by customer CUST-016, who belongs to the New segment in Bacolod. The product with ID PROD-D1, categorized under Electronics, was sold with an order status of Delayed. The total order value reached 162607, and the delivery was handled by CourierX, achieving a delivery status of Success with a delivery time of 4.6 days. The customer lifetime value was estimated at 200650, with an acquisition cost of 233 from the Referral source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 13.9%. The platform commission was 5.4%, while the competitor price stood at 94699. The weather condition during this transaction was heavy_rain, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 4.1 based on 41 reviews, and the courier reliability was measured at 8.7. The market demand index was 4, with an estimated financial loss of 1052.69 and a delivery success rate of 87.05."""
TRX-2023-017,10/04/2023,Zalora,CUST-017,Premium,Manila,PROD-L6,Health & Beauty,Completed,63,93807,CourierZ,Delayed,3.9,73566,Organic,577,37.2,CAMP-Q2-003,9.2,7.5,147772,typhoon,1,3.0,29,9.7,5,1202.65,99.7,"""In the transaction with ID TRX-2023-017 on 10/04/2023, a total of 63 orders were placed on the Zalora platform by customer CUST-017, who belongs to the Premium segment in Manila. The product with ID PROD-L6, categorized under Health & Beauty, was sold with an order status of Completed. The total order value reached 93807, and the delivery was handled by CourierZ, achieving a delivery status of Delayed with a delivery time of 3.9 days. The customer lifetime value was estimated at 73566, with an acquisition cost of 577 from the Organic source. The campaign ID associated with this transaction is CAMP-Q2-003, which offered a discount of 9.2%. The platform commission was 7.5%, while the competitor price stood at 147772. The weather condition during this transaction was typhoon, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.0 based on 29 reviews, and the courier reliability was measured at 9.7. The market demand index was 5, with an estimated financial loss of 1202.65 and a delivery success rate of 99.7."""
TRX-2023-018,22/07/2023,Zalora,CUST-018,Regular,Cebu,PROD-I10,Toys,Completed,88,67144,CourierY,Failed,3.7,98469,Instagram,320,23.3,CAMP-Q2-002,1.4,6.5,102683,heavy_rain,0,4.2,67,5.7,8,1798.11,85.36,"""In the transaction with ID TRX-2023-018 on 22/07/2023, a total of 88 orders were placed on the Zalora platform by customer CUST-018, who belongs to the Regular segment in Cebu. The product with ID PROD-I10, categorized under Toys, was sold with an order status of Completed. The total order value reached 67144, and the delivery was handled by CourierY, achieving a delivery status of Failed with a delivery time of 3.7 days. The customer lifetime value was estimated at 98469, with an acquisition cost of 320 from the Instagram source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 1.4%. The platform commission was 6.5%, while the competitor price stood at 102683. The weather condition during this transaction was heavy_rain, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 4.2 based on 67 reviews, and the courier reliability was measured at 5.7. The market demand index was 8, with an estimated financial loss of 1798.11 and a delivery success rate of 85.36."""
TRX-2023-019,17/05/2023,Shopee,CUST-019,Premium,Bacolod,PROD-C8,Toys,Completed,131,150650,CourierX,Delayed,5.0,235750,Facebook,532,36.6,CAMP-Q2-003,24.5,9.1,145209,typhoon,0,3.4,29,7.6,2,1748.61,97.01,"""In the transaction with ID TRX-2023-019 on 17/05/2023, a total of 131 orders were placed on the Shopee platform by customer CUST-019, who belongs to the Premium segment in Bacolod. The product with ID PROD-C8, categorized under Toys, was sold with an order status of Completed. The total order value reached 150650, and the delivery was handled by CourierX, achieving a delivery status of Delayed with a delivery time of 5.0 days. The customer lifetime value was estimated at 235750, with an acquisition cost of 532 from the Facebook source. The campaign ID associated with this transaction is CAMP-Q2-003, which offered a discount of 24.5%. The platform commission was 9.1%, while the competitor price stood at 145209. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.4 based on 29 reviews, and the courier reliability was measured at 7.6. The market demand index was 2, with an estimated financial loss of 1748.61 and a delivery success rate of 97.01."""
TRX-2023-020,29/08/2023,Zalora,CUST-020,Regular,Bacolod,PROD-Z1,Automotive,Completed,74,47730,CourierX,Delayed,4.3,246652,Organic,571,29.4,CAMP-Q2-002,6.7,6.1,112837,heavy_rain,1,4.5,90,9.1,10,1475.59,85.04,"""In the transaction with ID TRX-2023-020 on 29/08/2023, a total of 74 orders were placed on the Zalora platform by customer CUST-020, who belongs to the Regular segment in Bacolod. The product with ID PROD-Z1, categorized under Automotive, was sold with an order status of Completed. The total order value reached 47730, and the delivery was handled by CourierX, achieving a delivery status of Delayed with a delivery time of 4.3 days. The customer lifetime value was estimated at 246652, with an acquisition cost of 571 from the Organic source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 6.7%. The platform commission was 6.1%, while the competitor price stood at 112837. The weather condition during this transaction was heavy_rain, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.5 based on 90 reviews, and the courier reliability was measured at 9.1. The market demand index was 10, with an estimated financial loss of 1475.59 and a delivery success rate of 85.04."""
TRX-2023-021,08/07/2023,Zalora,CUST-021,New,Davao,PROD-V4,Electronics,Completed,188,175780,CourierY,Failed,2.4,261071,Facebook,564,26.7,CAMP-Q2-001,21.8,9.9,123098,normal,1,4.2,31,9.2,2,1840.05,98.01,"""In the transaction with ID TRX-2023-021 on 08/07/2023, a total of 188 orders were placed on the Zalora platform by customer CUST-021, who belongs to the New segment in Davao. The product with ID PROD-V4, categorized under Electronics, was sold with an order status of Completed. The total order value reached 175780, and the delivery was handled by CourierY, achieving a delivery status of Failed with a delivery time of 2.4 days. The customer lifetime value was estimated at 261071, with an acquisition cost of 564 from the Facebook source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 21.8%. The platform commission was 9.9%, while the competitor price stood at 123098. The weather condition during this transaction was normal, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.2 based on 31 reviews, and the courier reliability was measured at 9.2. The market demand index was 2, with an estimated financial loss of 1840.05 and a delivery success rate of 98.01."""
TRX-2023-022,29/01/2023,Zalora,CUST-022,New,Manila,PROD-Q5,Automotive,Completed,165,117975,CourierZ,Success,2.5,262384,Facebook,290,36.2,CAMP-Q2-002,17.5,8.5,102485,typhoon,1,3.5,51,8.6,8,1287.7,85.37,"""In the transaction with ID TRX-2023-022 on 29/01/2023, a total of 165 orders were placed on the Zalora platform by customer CUST-022, who belongs to the New segment in Manila. The product with ID PROD-Q5, categorized under Automotive, was sold with an order status of Completed. The total order value reached 117975, and the delivery was handled by CourierZ, achieving a delivery status of Success with a delivery time of 2.5 days. The customer lifetime value was estimated at 262384, with an acquisition cost of 290 from the Facebook source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 17.5%. The platform commission was 8.5%, while the competitor price stood at 102485. The weather condition during this transaction was typhoon, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.5 based on 51 reviews, and the courier reliability was measured at 8.6. The market demand index was 8, with an estimated financial loss of 1287.7 and a delivery success rate of 85.37."""
TRX-2023-023,12/02/2023,Shopee,CUST-023,New,Manila,PROD-W7,Toys,Completed,122,96014,CourierY,Success,4.5,263752,Google,442,24.7,CAMP-Q2-002,4.6,7.4,146839,normal,1,4.5,14,5.8,6,1624.49,86.28,"""In the transaction with ID TRX-2023-023 on 12/02/2023, a total of 122 orders were placed on the Shopee platform by customer CUST-023, who belongs to the New segment in Manila. The product with ID PROD-W7, categorized under Toys, was sold with an order status of Completed. The total order value reached 96014, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 4.5 days. The customer lifetime value was estimated at 263752, with an acquisition cost of 442 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 4.6%. The platform commission was 7.4%, while the competitor price stood at 146839. The weather condition during this transaction was normal, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.5 based on 14 reviews, and the courier reliability was measured at 5.8. The market demand index was 6, with an estimated financial loss of 1624.49 and a delivery success rate of 86.28."""
TRX-2023-024,16/06/2023,Lazada,CUST-024,New,Manila,PROD-P1,Fashion,Delayed,77,92400,CourierX,Failed,4.7,184835,Organic,559,39.8,CAMP-Q2-001,20.7,5.4,133717,heavy_rain,1,4.6,40,7.8,1,1835.69,96.27,"""In the transaction with ID TRX-2023-024 on 16/06/2023, a total of 77 orders were placed on the Lazada platform by customer CUST-024, who belongs to the New segment in Manila. The product with ID PROD-P1, categorized under Fashion, was sold with an order status of Delayed. The total order value reached 92400, and the delivery was handled by CourierX, achieving a delivery status of Failed with a delivery time of 4.7 days. The customer lifetime value was estimated at 184835, with an acquisition cost of 559 from the Organic source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 20.7%. The platform commission was 5.4%, while the competitor price stood at 133717. The weather condition during this transaction was heavy_rain, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.6 based on 40 reviews, and the courier reliability was measured at 7.8. The market demand index was 1, with an estimated financial loss of 1835.69 and a delivery success rate of 96.27."""
TRX-2023-025,18/04/2023,Amazon,CUST-025,New,Cebu,PROD-L4,Automotive,Delayed,191,127588,CourierZ,Failed,4.8,131719,Referral,336,22.7,CAMP-Q2-001,20.1,8.9,100075,normal,1,3.5,79,6.4,6,1812.43,93.23,"""In the transaction with ID TRX-2023-025 on 18/04/2023, a total of 191 orders were placed on the Amazon platform by customer CUST-025, who belongs to the New segment in Cebu. The product with ID PROD-L4, categorized under Automotive, was sold with an order status of Delayed. The total order value reached 127588, and the delivery was handled by CourierZ, achieving a delivery status of Failed with a delivery time of 4.8 days. The customer lifetime value was estimated at 131719, with an acquisition cost of 336 from the Referral source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 20.1%. The platform commission was 8.9%, while the competitor price stood at 100075. The weather condition during this transaction was normal, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.5 based on 79 reviews, and the courier reliability was measured at 6.4. The market demand index was 6, with an estimated financial loss of 1812.43 and a delivery success rate of 93.23."""
TRX-2023-026,28/06/2023,Shopee,CUST-026,Premium,Cagayan de Oro,PROD-F3,Electronics,Completed,54,40986,CourierZ,Success,4.2,73608,Instagram,382,30.9,CAMP-Q2-002,8.0,5.5,97616,heavy_rain,1,3.2,91,6.8,4,1025.51,87.69,"""In the transaction with ID TRX-2023-026 on 28/06/2023, a total of 54 orders were placed on the Shopee platform by customer CUST-026, who belongs to the Premium segment in Cagayan de Oro. The product with ID PROD-F3, categorized under Electronics, was sold with an order status of Completed. The total order value reached 40986, and the delivery was handled by CourierZ, achieving a delivery status of Success with a delivery time of 4.2 days. The customer lifetime value was estimated at 73608, with an acquisition cost of 382 from the Instagram source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 8.0%. The platform commission was 5.5%, while the competitor price stood at 97616. The weather condition during this transaction was heavy_rain, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.2 based on 91 reviews, and the courier reliability was measured at 6.8. The market demand index was 4, with an estimated financial loss of 1025.51 and a delivery success rate of 87.69."""
